1,-0.24678,4.3506,10.058
2,-0.64182,4.5973,9.6481
3,-0.58197,4.7553,7.6777
4,-0.42635,4.9324,6.0497
5,-0.11989,4.9851,6.1957
6,-0.091156,4.6332,7.6179
7,-0.58676,4.4273,8.5013
8,-1.0488,4.3147,9.0592
9,-1.2595,4.3052,9.6721
10,-0.88603,4.3794,9.7008
11,-0.40241,4.6092,9.0951
12,-0.28748,4.7672,8.238
13,-0.54365,4.9229,7.8525
14,-0.56042,4.9899,8.1685
15,-0.51492,4.9564,8.8772
16,-0.37367,5.0186,9.5811
17,-0.22763,5.0186,9.8277
18,-0.69209,5.1934,9.8804
19,-0.80702,5.2341,10.17
20,-0.2348,4.9875,10.632
21,0.002213,4.8726,11.037
22,-0.026505,4.5949,11.307
23,-0.33298,4.4704,11.068
24,-0.56999,4.5637,10.424
25,-0.73041,4.3052,9.7798
26,-0.78787,3.8814,9.617
27,-0.31381,3.1248,9.4327
28,-0.51971,2.7896,8.7431
29,-1.2715,2.986,7.6155
30,-1.2164,3.0386,6.6745
31,-0.35452,3.1871,6.3441
32,0.78513,3.1153,7.06
33,1.3933,2.6508,7.9602
34,0.79948,2.555,8.2523
35,-0.002563,2.6484,7.9722
36,-0.93631,3.0913,8.1757
37,-1.0057,3.5486,8.6067
38,-0.46944,3.9436,8.5205
39,-0.25397,4.3243,8.0416
40,-0.38086,4.6906,7.5676
41,-0.54845,4.9157,7.8956
42,-0.52211,4.9468,8.9347
43,-0.38086,5.0617,9.9187
44,-0.21086,5.2892,10.572
45,-0.20129,5.3849,10.697
46,-0.4455,5.3658,10.661
47,-0.51732,5.2557,11.013
48,0.045319,4.9109,11.834
49,0.25122,4.6882,12.528
50,0.32783,4.1567,12.49
51,0.18178,3.5749,11.494
52,0.018982,3.1607,10.046
53,0.26079,3.041,8.8341
54,0.39726,3.1464,8.2236
55,0.19376,3.2014,7.989
56,0.014191,2.8686,7.7879
57,-0.47662,2.8902,7.3186
58,-0.68732,3.0697,6.5884
59,-0.69688,3.2134,5.9754
60,-0.7328,3.6492,5.9467
61,-0.78787,3.788,6.313
62,-0.72322,3.5175,6.9212
63,-0.79744,3.3523,7.8908
64,-0.88124,3.3786,7.898
65,-1.0776,3.8838,7.2755
66,-1.1709,4.3363,7.0313
67,-0.88364,4.5542,7.4
68,-0.53169,4.7864,8.2308
69,-0.32339,5.0186,9.064
70,-0.27312,5.3754,9.6338
71,-0.65619,5.8207,9.9402
72,-0.87405,6.1343,9.9594
73,-0.63704,6.1152,10.309
74,-0.82138,6.2325,10.51
75,-1.0704,6.0074,10.778
76,-0.90997,5.2413,11.355
77,-0.70886,4.5494,11.992
78,-0.75195,4.0131,11.583
79,-0.73999,3.8215,10.225
80,-0.51492,3.9173,8.4965
81,-0.31381,3.9077,7.3377
82,-0.37607,3.3714,7.661
83,-0.66338,2.7034,8.6522
84,-0.47902,1.9948,9.2292
85,-0.4431,1.9971,8.7647
86,-0.95786,2.6196,8.0823
87,-1.5468,3.3259,7.716
88,-1.6019,3.4241,7.3832
89,-0.7328,3.5989,7.1725
90,0.007004,3.4959,6.9738
91,0.023773,3.8958,6.9738
92,-0.52211,4.5183,7.1917
93,-0.84532,5.0522,7.965
94,-0.4455,5.0713,9.222
95,0.10995,4.7505,10.369
96,0.60796,4.2453,11.082
97,0.754,3.8886,10.745
98,0.30389,4.3578,9.6481
99,0.51218,4.2645,9.2986
100,0.58879,3.8814,10.323
101,0.45952,3.0099,12.255
102,0.2991,2.1624,13.101
103,-0.10074,2.1288,11.401
104,-0.34734,2.7633,9.8612
105,-0.081573,2.9692,9.9738
106,0.14108,3.1655,8.8724
107,0.13869,2.8926,8.2523
108,-0.074402,2.5095,8.3409
109,-0.50296,2.0929,8.0345
110,-1.2404,2.1791,7.4335
111,-1.4295,2.3683,6.7512
112,-1.3649,2.7106,6.5022
113,-1.3505,2.9692,6.7679
114,-1.0704,2.9453,7.479
115,-0.90279,2.9405,8.2691
116,-0.74956,3.2421,8.3505
117,-0.91716,3.9029,8.3768
118,-1.2212,4.456,9.1023
119,-1.2787,4.5661,9.6817
120,-1.6402,4.8534,10.242
121,-1.9299,5.2533,10.651
122,-1.9969,5.5478,11.022
123,-2.2603,6.108,11.032
124,-1.9419,6.0194,11.228
125,-1.226,5.0258,12.062
126,-1.1997,3.7713,12.935
127,-2.0352,2.8208,12.576
128,-2.9115,2.3683,11.219
129,-2.6362,2.2078,9.7032
130,-1.815,2.4545,8.3888
131,-0.82857,2.4999,7.728
132,-0.19411,1.9948,7.6586
133,-0.24918,1.4106,7.4742
134,-0.54126,1.2621,6.8565
135,-0.66098,1.6284,6.2532
136,-0.65858,2.3419,5.906
137,-0.70886,3.0338,6.2627
138,-0.58914,3.3235,7.1702
139,-0.41197,3.1009,8.1135
140,-0.57957,2.6867,9.0759
141,-1.2452,2.476,10.23
142,-1.9754,2.5454,11.13
143,-2.0592,2.7154,11.006
144,-1.3816,3.0841,10.455
145,-0.38326,3.3762,10.211
146,0.34219,3.4385,10.769
147,0.074051,3.6587,11.489
148,-0.39043,3.9053,10.931
149,0.14827,3.4193,9.5356
150,0.028549,3.5821,8.7695
151,-0.33298,3.618,8.7312
152,-0.5269,3.3714,9.0496
153,-0.78548,3.3618,9.3034
154,-0.90758,3.3666,9.1645
155,-0.48621,3.2014,9.0472
156,-0.069611,3.0889,8.6282
157,0.007004,3.1009,8.2882
158,-0.2348,2.883,8.2451
159,-0.72801,2.6053,8.2763
160,-1.214,2.5646,8.0752
161,-1.6067,2.8232,7.6801
162,-1.487,3.1583,7.2635
163,-1.3266,3.6539,7.0768
164,-1.3912,4.0681,7.5101
165,-1.4463,4.1447,8.3242
166,-1.6665,4.0801,9.368
167,-2.2076,4.0514,10.014
168,-2.9139,4.3028,10.242
169,-3.0336,4.389,10.309
170,-2.562,4.3291,10.534
171,-2.3345,4.614,10.68
172,-2.4159,5.1407,10.632
173,-1.5468,4.7194,11.377
174,-0.84294,3.9915,12.509
175,-0.82857,3.2445,12.725
176,-1.0321,2.7801,11.47
177,-1.135,2.6747,9.8277
178,-1.0081,2.7561,8.5396
179,-0.70886,2.5813,7.9076
180,-0.58437,2.1264,8.1446
181,-0.68971,1.583,8.5468
182,-0.91716,1.1951,8.5157
183,-1.3649,1.3579,8.0225
184,-1.6785,1.8248,7.5077
185,-1.7168,2.476,7.1654
186,-1.2116,2.9453,7.1247
187,-0.48621,3.2182,7.637
188,-0.15341,3.2182,8.4917
189,-0.42874,3.0745,9.4016
190,-1.1757,3.041,9.6936
191,-1.7791,3.302,9.5021
192,-1.7455,3.8215,9.4782
193,-1.0369,4.1543,9.5691
194,-0.31621,4.2477,9.957
195,-0.30185,4.4752,10.443
196,-0.46464,4.5183,10.577
197,-0.083969,3.8167,10.457
198,-0.25635,3.5654,10.893
199,-0.37367,3.2278,11.281
200,-0.46464,3.0027,10.982
201,-0.56999,2.9453,10.105
202,-0.48381,3.053,9.0209
203,-0.20847,3.0099,8.1685
204,-0.024124,2.6843,7.7519
205,-0.15819,2.409,7.7831
206,-0.33536,2.16,8.0225
207,-0.71126,2.1097,7.977
208,-1.3768,2.2677,7.5915
209,-1.6426,2.5119,7.2276
210,-1.4175,2.9285,7.0552
211,-0.95786,3.4456,7.3234
212,-0.48859,3.7234,8.123
213,-0.44789,3.8503,8.9586
214,-0.92194,3.9676,9.6098
215,-1.396,3.9891,10.043
216,-1.7264,4.0993,10.287
217,-2.0305,4.4608,10.319
218,-1.8437,4.5805,10.421
219,-1.3936,4.535,10.611
220,-1.7025,4.9755,10.558
221,-1.9323,5.2964,10.429
222,-1.0273,4.4249,10.546
223,-0.21326,3.5294,11.006
224,-0.57718,3.1655,10.714
225,-1.1087,2.9429,9.5548
226,-0.96983,2.6819,8.5301
227,-0.85251,2.8399,8.1973
228,-0.4407,2.5334,8.5732
229,-0.038483,1.9014,9.0712
230,-0.057632,1.3028,9.0496
231,-0.42635,1.1807,8.4056
232,-0.93152,1.547,7.5867
233,-1.4056,2.2318,7.3138
234,-1.0919,2.5694,7.4455
235,-0.54126,2.9979,7.5772
236,-0.32579,3.5941,7.7184
237,-0.43591,3.8622,8.2667
238,-0.63464,3.7497,9.0472
239,-0.98659,3.5917,9.787
240,-1.3002,3.5677,10.448
241,-1.2284,3.6084,10.867
242,-0.76393,3.5893,11.008
243,-0.37367,3.4792,10.819
244,-0.71126,3.8287,10.089
245,-0.45508,3.3978,9.1621
246,-0.58914,3.2733,8.724
247,-0.62027,2.9596,8.9778
248,-0.66815,2.7417,9.4279
249,-0.85251,2.725,9.4662
250,-0.65379,2.5861,8.882
251,-0.27072,2.6029,8.1542
252,0.028549,2.5119,7.953
253,0.014191,2.2078,8.463
254,-0.4072,1.8367,9.0999
255,-0.82138,1.559,9.1645
256,-1.0943,1.5566,8.6976
257,-1.4463,1.9828,8.3194
258,-1.5277,2.3587,7.9387
259,-1.4104,2.658,7.661
260,-1.5253,3.2397,7.7903
261,-1.6115,3.7856,8.3074
262,-1.6809,4.3004,9.0209
263,-1.8653,4.851,9.7248
264,-1.9586,5.1407,10.34
265,-2.1454,5.1814,10.9
266,-2.3656,5.112,11.705
267,-2.641,5.1407,12.564
268,-3.0672,5.6459,12.952
269,-2.3297,5.179,13.34
270,-1.961,4.4225,13.965
271,-2.0903,3.2852,13.685
272,-2.9211,2.6244,12.038
273,-3.5005,2.3754,10.321
274,-3.2036,2.3108,8.9873
275,-2.1478,2.0546,7.9028
276,-1.2332,1.6069,7.953
277,-1.1518,0.97482,8.5779
278,-1.3864,0.25178,8.4965
279,-1.3768,-0.20312,7.9124
280,-1.3337,-0.016373,7.151
281,-1.5804,0.6947,6.5788
282,-1.4343,1.2669,6.2556
283,-0.87645,1.7673,5.9683
